StoreID,StoreName,Location,Pincode,StoreCapacity
2086,Zepto Hub 87,"Gachibowli, Hyderabad",500032,1002
2087,Zepto Hub 88,"Banjara Hills, Hyderabad",500034,900
2088,Zepto Hub 89,"Madhapur, Hyderabad",500081,1234
2089,Zepto Hub 90,"T. Nagar, Chennai",600017,1206
2090,Zepto Hub 91,"Velachery, Chennai",600042,976
2091,Zepto Hub 92,"Anna Nagar, Chennai",600040,1243
2092,Zepto Hub 93,"Salt Lake, Kolkata",700091,1297
2093,Zepto Hub 94,"Rajarhat, Kolkata",700135,1054
2094,Zepto Hub 95,"Park Street, Kolkata",700016,1080
2095,Zepto Hub 96,"Hinjewadi, Pune",411057,1028
2096,Zepto Hub 97,"Kothrud, Pune",411038,936
2097,Zepto Hub 98,"Viman Nagar, Pune",411014,820
2098,Zepto Hub 99,"Vaishali Nagar, Jaipur",302021,1378
2099,Zepto Hub 100,"Malviya Nagar, Jaipur",302017,1426
